name,pr,best_tp,best_tn,best_fp,best_fn
05f10d3a-239c-3bef-9bdc-a2feeb0037aa.csv,0.43702106996421075,8244,0,6049,0
0efb375b-b902-3661-ab23-9a0bb799f4e3.csv,1.0,258,0,0,0
1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.csv,0.5293812274390814,8810,0,5485,0
301c70d8-1630-35ac-8f96-bc1b6f4359ea.csv,1.0,258,0,0,0
42d6616d-c9c5-370a-a8ba-17ead74f3114.csv,0.7062540828756465,10031,0,4265,0
43115f2a-baeb-3b01-96f7-4ea14188343c.csv,0.7896431879082434,7016,0,3427,0
431a8542-c468-3988-a508-3afd06a218da.csv,1.0,10536,0,0,0
4d2af31a-9916-3d9f-8a8e-8a268a48c095.csv,0.7548823694946597,4933,1120,4404,60
54350a12-7a9d-3ca8-b81f-f886b9d156fd.csv,0.15968537055187104,39,0,102,0
55f8b8b8-b659-38df-b3df-e4a5a8a54bc9.csv,0.9155044116421122,9936,1455,2577,325
57051487-3a40-3828-9084-a12f7f23ee38.csv,0.06942920677080366,1363,0,9185,0
6a757df4-95e5-3357-8406-165e2bd49360.csv,0.3656999744654924,4235,0,6232,0
6d1114ae-be04-3c46-b5aa-be1a003a57cd.csv,0.4790796759869222,7634,0,6658,0
6efa3a07-4544-34a0-b921-a155bd1a05e8.csv,0.8662997566915178,11149,0,3145,0
